Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20831.08,21300,0,0
B,20831.08,21300,0,1
A,20878.58,21300,1,0
A,20828.58,21300,0,1
B,20923.58,21300,1,0
B,20873.58,21300,0,1
A,20968.58,21300,1,0
A,20918.58,21300,0,1
B,21013.58,21300,1,0
B,20963.58,21300,0,1
B,21058.58,21300,0,2
B,21106.08,21300,0,3
B,21153.58,21300,1,0
B,21103.58,21300,2,0
A,21003.58,21300,0,1
A,21193.58,21300,1,0
B,21143.58,21300,0,1
B,21238.58,21300,1,0
A,21188.58,21300,2,0
B,21088.58,21300,3,0
A,20888.58,21300,4,0
B,20488.58,21300,0,1
A,21248.58,21300,1,0
A,21198.58,21300,2,0
B,21098.58,21300,0,1
B,21288.58,21300,1,0
A,21238.58,21300,2,0
B,21138.58,21300,3,0
B,20938.58,21300,0,1